Weight,CAN output,Slope,Corrected,Projected,Projected error
0,48,"0,9",0,0,0
10,57,"0,8","9,71590909090909","9,72","0,279999999999999"
20,65,1,"18,3522727272727","18,36","1,64"
30,75,"0,9","29,1477272727273","29,16","0,84"
40,84,"0,9","38,8636363636364","38,88","1,12"
50,93,"0,9","48,5795454545455","48,6","1,4"
60,102,1,"58,2954545454545","58,32","1,68"
70,112,"0,9","69,0909090909091","69,12","0,879999999999995"
80,121,"0,9","78,8068181818182","78,84","1,16"
90,130,1,"88,5227272727273","88,56","1,44"
100,140,"0,9","99,3181818181818","99,36","0,640000000000001"
110,149,1,"109,034090909091","109,08","0,920000000000002"
120,159,"0,9","119,829545454545","119,88","0,120000000000005"
130,168,"0,9","129,545454545455","129,6","0,400000000000006"
140,177,1,"139,261363636364","139,32","0,680000000000007"
150,187,"0,8","150,056818181818","150,12","-0,120000000000005"
160,195,1,"158,693181818182","158,76","1,24000000000001"
170,205,1,"169,488636363636","169,56","0,439999999999998"
180,215,"0,9","180,284090909091","180,36","-0,360000000000014"
190,224,"1,9",190,"190,08","-0,080000000000013"
200,243,"0,74","210,511363636364","210,6","-10,6"
250,280,"0,88","250,454545454545","250,56","-0,560000000000002"
300,324,"0,96","297,954545454545","298,08","1,92000000000002"
350,372,"1,04","349,772727272727","349,92","0,079999999999984"
400,424,"0,76","405,909090909091","406,08","-6,07999999999998"
450,462,"0,8","446,931818181818","447,12","2,88"
500,502,"1,004","490,113636363636","490,32","9,68000000000001"

